SITE_NAME,ACRES,TypeLong,ZipCode,ADDRESS
Jamaicaway,4.75005995,"Parkways, Reservations & Beaches",02130, 
Perkins Street,0.22702045,"Parkways, Reservations & Beaches",02130, 
Chestnut Street,1.03910568,"Parkways, Reservations & Beaches",02130, 
Faneuil Square,0.81678949,"Malls, Squares & Plazas",02109,1P Faneuil Hall Square
Temple Street Park,0.06073199,"Malls, Squares & Plazas",02114,46 Temple Street
American Legion Highway,6.77560767,"Parkways, Reservations & Beaches","02126, 02121, 02124, 02131", 
Morton Street,0.76096783,"Parkways, Reservations & Beaches","02126, 02130, 02124, 02131", 
St Michael's Cemetery,46.50379724,Cemeteries & Burying Grounds,"02130, 02131", 
Patten's Cove,9.66123628,"Parkways, Reservations & Beaches",02125, 
Leo M. Birmingham Parkway,6.98172672,"Parkways, Reservations & Beaches",02135, 
Rivermoor II,1.03369101,Urban Wilds,02132,150 Rivermoor Street
Rivermoor III,0.51911572,Urban Wilds,02132, 
Parley Vale Preserve,0.72398241,"Parks, Playgrounds & Athletic Fields",02130,18-20 Parley Street
Condor Street Overlook,0.45,Urban Wilds,02128,2 Condor Street
Truman Parkway,2.71500041,"Parkways, Reservations & Beaches",02136, 
West Austin Rock,0.29626499,Urban Wilds,02136,216 West Street
Arborway Overpass Path,1.16385539,"Parkways, Reservations & Beaches",02130, 
Franklin Park Zoo,63.82554862,"Parks, Playgrounds & Athletic Fields",02121, 
Newland Street Park,0.1534102,"Parks, Playgrounds & Athletic Fields",02118,"97 West Concord;  Playlot Entrance, 90HF Newland Street"
Zero Quinn Way,0.03202902,"Parks, Playgrounds & Athletic Fields",02132,0 Quinn Way
Fenelon Street Playground,0.19241198,"Parks, Playgrounds & Athletic Fields",02121,20 Fenelon Street
Stanley-Bellevue Park,0.35813587,"Parks, Playgrounds & Athletic Fields",02125,23 Bellevue Street
Allandale Woods ROW,0.16386259,Urban Wilds,02132,1215R Centre Street 200-232 Allandale Street
St Helena's Park,0.17481047,"Parks, Playgrounds & Athletic Fields",02118,115 Union Park Street
Theresa Hynes Park,0.42343944,"Parks, Playgrounds & Athletic Fields",02135,99 Chestnut Hill Avenue
Ernst Chery Jr. Playground,0.23395832,"Parks, Playgrounds & Athletic Fields",02126,74 Orlando Street
Millennium Park II,8.33222815,Urban Wilds,02132,300 Gardner Street
North Point Park,2.34133036,"Parks, Playgrounds & Athletic Fields",02114, 
Bremen Street Park I,17.78916058,"Parks, Playgrounds & Athletic Fields",02128, 
South Bank Park,2.39521477,"Parkways, Reservations & Beaches",02114,Beverley and Causeway Sts
Lincoln Street Green,0.17757051,"Malls, Squares & Plazas",02111,17 South Street
Chinatown Park,0.84197364,"Malls, Squares & Plazas",02111, 
Armenian Heritage Park,0.2538375,"Malls, Squares & Plazas",02110, 
Endicott Triangle,0.03843055,"Malls, Squares & Plazas",02113,"Btwn Endicott, Stillman, & Cross Sts"
Dewey Square Parks,2.64044907,"Malls, Squares & Plazas","02110, 02210", 
Federal Reserve Bank Harborwalk,0.08032794,"Malls, Squares & Plazas",02210, 
Tufts Wharf Harborwalk,0.73915412,"Malls, Squares & Plazas",02210,510 Atlantic Avenue
Russia Wharf Harborwalk,0.06115193,"Malls, Squares & Plazas",02210, 
North End Park,2.82787538,"Malls, Squares & Plazas","02109, 02113", 
Wharf District Park,4.71128786,"Malls, Squares & Plazas","02110, 02109", 
McGann Park,0.88087107,"Parks, Playgrounds & Athletic Fields",02136,240 West Street
Bay Village Garden,0.01815408,"Malls, Squares & Plazas",02116,32 Melrose Street
Bussey Brook Meadow II,1.25776152,Open Land,02130,Opposite 376 Arborway Street
Franklin Park II,16.44115769,"Parks, Playgrounds & Athletic Fields",02121, 
Brian Honan Park,0.96367385,"Parks, Playgrounds & Athletic Fields",02135,Allston Street
Allandale Woods II,10.60073766,Urban Wilds,"02130, 02132",1215R Centre Street 200-232 Allandale Street
Mattahunt Woods II,3.40667513,Other Open Land,02126,50 Canaan Street (at Kennebec St)
BPL Courtyard,0.18670139,"Malls, Squares & Plazas",02116,230 Dartmouth Street
Sharon's Park,0.31493329,"Malls, Squares & Plazas",02125,840 Columbia Road
Mattahunt Woods I,8.85081077,Urban Wilds,02126,20 Cannan Street (at Colorado Street)
Beethoven School Play Area,0.52464693,"Parks, Playgrounds & Athletic Fields",02132,5119 Washington Street
Algonquin Square,0.03890156,"Malls, Squares & Plazas",02124,2 Algonquin Street
Robert G. Lawson Park,0.12211615,"Malls, Squares & Plazas",02119,1 Atherton Street
Hunt Playground II,0.18639601,"Parks, Playgrounds & Athletic Fields",02126, 
Golden Stairs Terrace Park II,0.07587316,"Malls, Squares & Plazas",02128, 
Foley Square,0.14070438,"Malls, Squares & Plazas",02136,635 Metropolitan Avenue
Jones Square,0.04306554,"Malls, Squares & Plazas",02136,80 Milton Avenue
Schraffts Centre Harborwalk,1.00812584,"Malls, Squares & Plazas",02129,529-543 Main Street
Roslindale Wetlands Urban Wild,9.58705106,Urban Wilds,02131,40 Selwyn Street
Webster Square,0.05439216,"Malls, Squares & Plazas",02136,18 Webster Street
Wolf Square,0.02279554,"Malls, Squares & Plazas",02121,190 Harold Street
Woodworth Square,0.03458118,"Malls, Squares & Plazas",02136,105 Beacon Street
East Boston Memorial Park II,1.80074841,"Parks, Playgrounds & Athletic Fields",02128, 
East Boston Memorial Park III,3.25828701,"Parks, Playgrounds & Athletic Fields",02128, 
Bremen Street Park II,0.00973802,"Parks, Playgrounds & Athletic Fields",02128, 
Bussey Brook Meadow I,24.6767483,Urban Wilds,02130,255 South Street
Arborway II,1.15264166,"Parkways, Reservations & Beaches",02130, 
Allandale Woods IV,6.29445592,Urban Wilds,"02130, 02132",1215R Centre Street 200-232 Allandale Street
Allandale Woods V,2.78226138,Urban Wilds,02132,1215R Centre Street
Pier Four Harborwalk,0.08833499,"Malls, Squares & Plazas",02210,130 Northern Avenue
Back Bay Fens,70.10028354,"Parks, Playgrounds & Athletic Fields","02115, 02215",100 Park Drive (Clemente Field House) 125 The Fenway (Emerald Necklace Conservancy) 50 Park Drive (Duck House)  1 Evans Way (Evans Way) Forsyth Way (Roadway)   70 Park Drive (Rose Garden)   35 The Fenway (Mother's Rest) 20 Park Drive (Victory Garden) 89
Riverway I,17.1859298,"Parks, Playgrounds & Athletic Fields",02215,440 Park Drive; 300 Park Drive (Sears Parcel)
Riverway III,5.29710791,"Parks, Playgrounds & Athletic Fields","02115, 02215","W side of Riverway parkway, btwn Netherlands & on ramp  nr Brookline Ice & Coal"
Riverway IV,1.92234381,"Parkways, Reservations & Beaches","02115, 02215","E side of Riverway parkway, Francis St to Huntington Ave (Rt 9)"
Jamaica Pond Park,97.73817701,"Parks, Playgrounds & Athletic Fields",02130,"345 Jamaica Way
507 Jamaica Way"
Charlesgate II,1.48764482,"Parkways, Reservations & Beaches",02215,Charlesgate East nr Boylston St;  Charlesgate West btwn Beacon St and Back St
Agassiz Road,0.60408234,"Parkways, Reservations & Beaches",02215,Agassiz Road
Columbia Road Park,0.12376056,"Parks, Playgrounds & Athletic Fields",02125,48 Buttonwood Street
Boylston Street I,0.61687744,"Parkways, Reservations & Beaches",02215,Vicinity of Park Drive and Back Bay Fens
Boylston Street II,1.78015257,"Parkways, Reservations & Beaches","02115, 02215",Vicinity of Bowker Overpass and The Fenway
The Fenway II,0.7685747,"Parkways, Reservations & Beaches","02115, 02215",The Fenway at Brookline Ave & The Fenway at Boylston Street (near Charlesgate)
Park Drive I,5.09545412,"Parkways, Reservations & Beaches",02215,Park Drive from Brookline Ave to Boylston Street near Charlesgate
Park Drive II,1.38266086,"Parkways, Reservations & Beaches",02215,Park Drive at Boylston Street & Brookline Ave Intersection
Fire Alarm House Grounds,0.84452826,"Parks, Playgrounds & Athletic Fields",02215,59 The Fenway
Riverway II,2.36332055,"Parkways, Reservations & Beaches",02215,"E side of Riverway parkway, Park Dr to Francis St"
Riverway V,0.44906601,"Parkways, Reservations & Beaches",02215,"E side of Riverway parkway, Autumn St to Francis St"
Commonwealth Avenue Mall I,10.87118254,"Malls, Squares & Plazas","02115, 02116, 02215",Commonwealth Ave btwn Arlington St & Charlesgate East
Centre Street II,0.33933367,"Parkways, Reservations & Beaches",02131, 
Centre Street I,2.24981233,"Parkways, Reservations & Beaches","02130, 02131",Centre St fr Murray Circle to Allandale St (NW side) and Bussey St (SE side)
Centre Street IV,0.31576081,"Parkways, Reservations & Beaches","02130, 02132",NW side (outbound) of Centre St btwn Allandale St & VFW Parkway
Reserved Channel Harborwalk,3.18537612,"Malls, Squares & Plazas","02210, 02127", 
Tunnel Harborwalk,0.18410324,"Malls, Squares & Plazas",02210,FID Kennedy Avenue
Aquarium Harborwalk II,0.05082117,"Malls, Squares & Plazas",02110,East side of India Row btwn Aquarium IMAX & Harbor Towers
India Wharf Harborwalk,0.41591327,"Malls, Squares & Plazas",02110,65-85 East India Row
Rowe's Wharf Harborwalk,1.25944293,"Malls, Squares & Plazas",02110,350 Atlantic Avenue
400R Atlantic Avenue Harborwalk,0.04594522,"Malls, Squares & Plazas",02110,400R Atlantic Avenue
408 Atlantic Avenue Harborwalk,0.03425732,"Malls, Squares & Plazas",02110,408 Atlantic Avenue
Independence Wharf Harborwalk,0.17578463,"Malls, Squares & Plazas",02210,470 Atlantic Avneue
Commercial Wharf Harborwalk,0.19451575,"Malls, Squares & Plazas",02110,86-87 Commercial Wharf East
Nancy Kafka Reserve,0.71482504,"Parks, Playgrounds & Athletic Fields",02119,140 Highland Street
Brighton Common,0.50666062,"Malls, Squares & Plazas",02135,30 Chestnut Hill Avenue
Sweeney Playground,0.46237615,"Parks, Playgrounds & Athletic Fields",02127,180 West Fifth Street
Ryan Play Area,0.63636129,"Parks, Playgrounds & Athletic Fields",02125,960 Dorchester Avenue
Doris F. Tillman Playground,0.6620697,"Parks, Playgrounds & Athletic Fields",02119,45 Lambert Avenue
Adams/King Playground,0.67749653,"Parks, Playgrounds & Athletic Fields",02122,470 Adams Street
Meany Park,0.23297897,"Parks, Playgrounds & Athletic Fields",02125, 
Lincoln Square,0.05462822,"Malls, Squares & Plazas",02116,2 Columbus Avenue
Bunker Hill Burying Ground,1.10725989,Cemeteries & Burying Grounds,02129,201 Bunker Hill Street
Clifford Playground,7.55334443,"Parks, Playgrounds & Athletic Fields",02119,160 Norfolk Avenue
Elmhurst Street Park,0.2348565,"Parks, Playgrounds & Athletic Fields",02124,27-35 Elmhurst Street
Dunbarton Woods,0.73523252,Urban Wilds,02132,Dunbarton Road
Joe's American Harborwalk,0.04359801,"Malls, Squares & Plazas",02110,98-104 Atlantic Avenue
Bradford Street Play Area,0.03665251,"Parks, Playgrounds & Athletic Fields",02118,18 Bradford Street
Lincoln Square,0.21659302,"Malls, Squares & Plazas",02127,755 East Fourth Street
Laviscount Park,1.1541777,"Parks, Playgrounds & Athletic Fields",02121,80 Humboldt Avenue
Statler Park,0.2326726,"Malls, Squares & Plazas",02116,243 Stuart Street
Hynes Playground,6.41668495,"Parks, Playgrounds & Athletic Fields",02132,502 VFW Parkway
Rink Grounds,0.7343436,"Parks, Playgrounds & Athletic Fields",02129, 
Roxbury Heritage State Park,1.78135758,"Parks, Playgrounds & Athletic Fields",02119, 
Eliot Burying Ground,0.7936643,Cemeteries & Burying Grounds,02119,16 Eustis Street
Blake Estates Urban Wild I,1.20888687,Urban Wilds,02136,Bank of Mother Brook btwn Hyde Park Ave & Fulton St
Railroad Avenue,1.09888797,Urban Wilds,02136, 
Fairview Cemetery,59.06,Cemeteries & Burying Grounds,02136,28 Fairview Avenue
Joyce Playground,1.3648205,"Parks, Playgrounds & Athletic Fields",02135,80 Union Street
Cassidy Playground,9.60773626,"Parks, Playgrounds & Athletic Fields",02467,379 Chestnut Hill Avenue
Shubow Park I,0.57167722,"Parks, Playgrounds & Athletic Fields",02135,1825 Commonwealth Avenue
Shubow Park II,0.15557707,"Parks, Playgrounds & Athletic Fields",02135,1825 Commonwealth Avenue
St Augustine Burying Ground,0.91315492,Cemeteries & Burying Grounds,02127,"Dorchester Ave, Tudor St, F St,"
Central Square,0.9050867,"Malls, Squares & Plazas",02128,1P William C Kelly Square
Rossmore/Stedman Park,0.07356577,"Parks, Playgrounds & Athletic Fields",02130,40 Rossmore Street
Brewer-Burroughs Tot Lot,0.19124932,"Parks, Playgrounds & Athletic Fields",02130,2P Brewer Street
The Fenway I,6.75107846,"Parkways, Reservations & Beaches","02115, 02215",The Fenway from Emanuel College to Boston Conservatory of Music (Brookline Ave to Boylston St)
Public Ground,0.06371687,"Malls, Squares & Plazas",02135,Cambridge & Henshaw Streets
Tebroc Street Playlot,0.07342236,"Parks, Playgrounds & Athletic Fields",02122,151 Bowdoin Street
Aquarium Harborwalk I,0.57319833,"Malls, Squares & Plazas",02110,248 Atlantic Avenue
Hanlon Square,0.0384283,"Malls, Squares & Plazas",02115,725 Huntington Avenue
Essex Square,0.02510106,"Malls, Squares & Plazas",02129,23-25 Essex Street
Mt. Pleasant Play Area,0.39857232,"Parks, Playgrounds & Athletic Fields",02119,30 Mt. Pleasant Avenue
Joslin Park,0.30792907,"Malls, Squares & Plazas",02215,10 Joslin Place
Portsmouth Street Playground,4.26129194,"Parks, Playgrounds & Athletic Fields",02135,35 Portsmouth Street
Heath Square,0.09790836,"Malls, Squares & Plazas",02130,65 Heath Street
Emmel Square,0.01828282,"Malls, Squares & Plazas",02131,23 South Fairview Street
Tremlett Square,0.1581,"Malls, Squares & Plazas",02124,39P Tremlett Street
Bonito Square,0.0621615,"Malls, Squares & Plazas",02128, 
Richardson Park,1.11426156,"Malls, Squares & Plazas",02125, 
Roberts Playground,10.22630854,"Parks, Playgrounds & Athletic Fields",02124,56 Dunbar Avenue
Willow Pond Meadow,6.25209794,"Parks, Playgrounds & Athletic Fields",02130, 
Olmsted Park,42.82523011,"Parks, Playgrounds & Athletic Fields",02130,217 Jamaicaway
Frieda Garcia Park,0.26781767,"Parks, Playgrounds & Athletic Fields",02116,95-111 Clarendon Street
Raymond V. Mellone Park II,0.475156,"Parks, Playgrounds & Athletic Fields",02134, 
Rena Park,2.2240593,"Parks, Playgrounds & Athletic Fields",02134,288 - 290 N Harvard Street
Stony Brook Reservation III,70.24374286,"Parkways, Reservations & Beaches","02136, 02131", 
George Wright Golf Course,155.98362996,"Parks, Playgrounds & Athletic Fields","02136, 02131","420 West Street 
260 West Street"
DeForest Urban Wild,1.0238238,Urban Wilds,02136, 
ICA Pier Walk,0.29264781,"Malls, Squares & Plazas",02210,100 Northern Avenue
Fan Pier Harborwalk,1.66183038,"Malls, Squares & Plazas",02210, 
McLaughlin Playground,11.66941737,"Parks, Playgrounds & Athletic Fields",02120,239 Parker Hill Avenue
Parker Hilltop,1.69475448,Urban Wilds,02120,225 Parker Hill Avenue
LoPresti Park,3.23416881,"Parks, Playgrounds & Athletic Fields",02128,33 Sumner Street
Raymond V. Mellone Park I,1.08096812,"Parks, Playgrounds & Athletic Fields",02134,288-308 North Harvard Street
General Edward O. Gourdin African-American Veterans Memorial Park,0.50447733,"Malls, Squares & Plazas",02119, 
Elliot Norton Park,0.94506693,"Parks, Playgrounds & Athletic Fields",02116,295 Tremont Street
Bay Village Neighborhood Park,0.09401441,"Malls, Squares & Plazas",02116, 
Beauford Play Area,0.23574206,"Parks, Playgrounds & Athletic Fields",02125,127 Howard Avenue
Children's Park,0.34855408,"Parks, Playgrounds & Athletic Fields",02121,81-85 Intervale Street
Winthrop Playground,1.56102517,"Parks, Playgrounds & Athletic Fields",02125,21 Danube Street
Denton Square,0.07436155,"Malls, Squares & Plazas",02125,1 Wayland Street
Ceylon Park,4.64357435,"Parks, Playgrounds & Athletic Fields",02121,105 Ceylon Street
Hannon Playground,1.96738119,"Parks, Playgrounds & Athletic Fields",02125,621 Dudley Street
Portal Park,0.36661681,"Malls, Squares & Plazas",02114,Causeway St above O'Neill Tunnel Entrance Portal (Zakim Bridge Approach)
Healy Playground,9.60460873,"Parks, Playgrounds & Athletic Fields",02131,160 Florence Street
Menino Park,1.23670225,"Parks, Playgrounds & Athletic Fields",02129,First Avenue & Sixteenth Street
Spectacle Island I,86.00358069,"Parks, Playgrounds & Athletic Fields", ,5 Spectacle Island
Spectacle Island II,25.52192665,"Parks, Playgrounds & Athletic Fields", , 
Cook Street Play Area,0.10135288,"Parks, Playgrounds & Athletic Fields",02129,15 Hill Street
Spaulding Rehabilitation Plaza,0.29724262,"Malls, Squares & Plazas",02129,300 First Avenue
Navy Yard Grounds,3.58076532,"Parks, Playgrounds & Athletic Fields",02129, 
Christopher Columbus Park,4.86711363,"Parks, Playgrounds & Athletic Fields",02110,110 Atlantic Avenue
Long Wharf,3.90122458,"Malls, Squares & Plazas",02110,206-214 Atlantic Avenue (Harbor End of Wharf)
Peter Looney Park,0.66841561,"Parks, Playgrounds & Athletic Fields",02129,34 Union Street
Charlestown Naval Shipyard Park,9.58138441,"Parks, Playgrounds & Athletic Fields",02129, 
Constitution Beach,25.31309776,"Parkways, Reservations & Beaches",02128, 
Massport Harborwalk,2.47144426,"Malls, Squares & Plazas",02128, 
Nira Rock,1.44765781,Urban Wilds,02130,22 Nira Avenue
Jefferson Playground,3.40077045,"Parks, Playgrounds & Athletic Fields",02130,10 Grotto Glen Road
Arborway I,16.77585562,"Parkways, Reservations & Beaches",02130, 
Amory Street Park,0.12224663,"Parks, Playgrounds & Athletic Fields",02119, 
Puopolo Playground,2.65425058,"Parks, Playgrounds & Athletic Fields",02109,517 Commercial Street
Stony Brook Reservation II,141.95723737,"Parkways, Reservations & Beaches","02132, 02136", 
A Street Park,1.3607258,"Parks, Playgrounds & Athletic Fields",02210,135-141 A Street
Fort Point Channel Harborwalk,1.41395605,"Malls, Squares & Plazas","02210, 02127", 
Franklin Park,392.18501638,"Parks, Playgrounds & Athletic Fields","02130, 02121","25 Pierpont Road 
155 Seaver Street (Tiffany Moore) 
450 Walnut Avenue (El Parquesito de la Hermandad) 
1 Franklin Park Drive (Zoo) 
1 Jewish War Mem Veteran's Dr (Club House) 
100 Jewish War Memorial Veteran's Dr (Mtce Yard) 
35 American Legion Hwy (Mot"
Charlesgate I,6.59092994,"Parkways, Reservations & Beaches",02215,"Btwn Storrow Dr, Mass Pike, Charlesgate East & Charlesgate West"
Adams Park,0.7051637,"Parks, Playgrounds & Athletic Fields",02131,4225 Washington Street
Arnold Arboretum,224.27203832,"Parks, Playgrounds & Athletic Fields","02130, 02131",125 The Arborway; 25 Bussey Street
Hunt Playground,18.67,"Parks, Playgrounds & Athletic Fields",02126,40 Almont Street
Pope John Paul II Park I,70.00617732,"Parkways, Reservations & Beaches","02124, 02122", 
Port Norfolk Park,12.72565247,"Parkways, Reservations & Beaches",02122, 
Pope John Paul II Park II,0.33162551,"Parkways, Reservations & Beaches",02122, 
West Link Park,3.58777585,"Parkways, Reservations & Beaches",02125, 
Carson Beach,24.64639659,"Parkways, Reservations & Beaches","02125, 02127", 
Commercial Point,2.38153477,"Parkways, Reservations & Beaches",02122, 
Charles River Reservation,171.8964419,"Parkways, Reservations & Beaches","02134, 02115, 02163, 02135, 02114, 02108, 02116, 0", 
Forbes Street Playground,0.09115367,"Parks, Playgrounds & Athletic Fields",02130,60 Forbes Street
Union Park Street Playground,0.40978067,"Parks, Playgrounds & Athletic Fields",02118,125 Union Park Street
Porzio Park,2.50423194,"Parks, Playgrounds & Athletic Fields",02128,14 Jeffries Street
Ross Playground,13.12495412,"Parks, Playgrounds & Athletic Fields",02136,145 Westminster Street
Mt. Hope Cemetery,125.04694818,Cemeteries & Burying Grounds,02131,355 Walk Hill Street
Calvary Cemetery,47.23674938,Cemeteries & Burying Grounds,02131, 
New Calvary Cemetery,59.44638436,Cemeteries & Burying Grounds,02126, 
Savin Hill Park,8.29027982,"Parks, Playgrounds & Athletic Fields",02125,25 Caspian Way
Southwest Corridor Park,48.47698106,"Parkways, Reservations & Beaches","02118, 02130, 02119, 02115, 02116, 02120", 
Orton Field,1.59444785,"Parks, Playgrounds & Athletic Fields",02127,200 D Street
Paul Gore Street Park,0.7340119,"Parks, Playgrounds & Athletic Fields",02130,60 Paul Gore Street
Allen Park,1.29344677,"Parks, Playgrounds & Athletic Fields",02122,1-19 Church Street
Boston Nature Center_Visitor Ctr,2.33062987,"Parks, Playgrounds & Athletic Fields","02126, 02131",500 Walk Hill Street
Boston Nature Center,58.53155346,Urban Wilds,"02126, 02131",500 Walk Hill Street
Cunningham Park,0.17970203,"Malls, Squares & Plazas",02135,725 Cambridge Street
McLean Playground,0.4270713,"Parks, Playgrounds & Athletic Fields",02128,550 Bennington Street
Navy Fuel Pier Airport Edge Buffer,0.84353898,"Parks, Playgrounds & Athletic Fields",02128, 
Fidelis Way Park,4.90352493,"Parks, Playgrounds & Athletic Fields",02135,19P Jette Court
Harambee Park,44.74639215,"Parks, Playgrounds & Athletic Fields",02124,930 Blue Hill Avenue
St Mary's Cemetery,10.50258252,Cemeteries & Burying Grounds,02124, 
VFW Parkway I,12.44234167,"Parkways, Reservations & Beaches","02132, 02467", 
VFW Parkway II,0.64656848,"Parks, Playgrounds & Athletic Fields",02132, 
Carroll Pond Playground,0.48428662,"Parks, Playgrounds & Athletic Fields",02132,15 Carrolton Road
O'Donnell Square,0.06098479,"Malls, Squares & Plazas",02122, 
Grove Street Cemetery,25.38168175,Cemeteries & Burying Grounds,02132, 
King's Chapel Burying Ground,0.43176542,Cemeteries & Burying Grounds,02108,40 Tremont Street
Blue Hill Club Recreation Center,3.04202852,"Parks, Playgrounds & Athletic Fields",02124,15 Talbot Street
Columbia Road/Day Boulevard,16.85070443,"Parkways, Reservations & Beaches","02125, 02127", 
Columbia Park,0.33933352,"Parks, Playgrounds & Athletic Fields",02127,"Farragut Road, Columbia Road, Sixth Street, Lennon Street"
Bellevue Street Green,0.11772279,"Malls, Squares & Plazas",02132,Bellevue St btwn Robin St and Bellevue Hill Rd
Walnut Park,0.06010444,"Malls, Squares & Plazas",02119, 
Mirabella Pool,1.36211167,"Parks, Playgrounds & Athletic Fields",02109,475 Commercial Street
Theresa Hynes Park Access Easement,0.02090878,"Parks, Playgrounds & Athletic Fields",02135,99 Chestnut Hill Avenue
Union Park,0.36843561,"Parks, Playgrounds & Athletic Fields",02118,24P Union Park
Blake Estates Urban Wild II,0.35358998,Urban Wilds,02136,1344 Hyde Park Avenue
Stony Brook Reservation CR,2.55650047,"Parkways, Reservations & Beaches",02136,114 Gordon Avenue
Rink Grounds,2.52599648,"Parks, Playgrounds & Athletic Fields",02122,995 Morrissey Blvd
Mount Hope Park,0.1092459,"Parks, Playgrounds & Athletic Fields",02131,464 Mt Hope Street
Oak Square,0.23433381,"Malls, Squares & Plazas",02135,430 Faneuil Street
Henry Square,0.05217643,"Malls, Squares & Plazas",02124,Btwn Adams St and Gallivan Blvd
Melnea A. Cass Recreational Complex,2.58263465,"Parks, Playgrounds & Athletic Fields",02119,120 Martin Luther King Jr. Blvd
Puerto Rican Veterans Memorial Park,0.13484183,"Malls, Squares & Plazas",02118,W Dedham St & Washington St
East Boston Greenway Extension,1.24227069,"Parks, Playgrounds & Athletic Fields",02128, 
Wood Island Bay Edge Park,0.59879283,"Parks, Playgrounds & Athletic Fields",02128, 
Dearborn Street Square,0.0293237,"Malls, Squares & Plazas",02119, 
Babson Cookson Tract,2.41135373,Urban Wilds,02126, 
Paula Titus Park,0.18237447,"Parks, Playgrounds & Athletic Fields",02119,66 Fort Ave
Watson Park,0.10689584,"Parks, Playgrounds & Athletic Fields",02118,15 Taylor Street
Nonquit Street Green,0.3404661,"Parks, Playgrounds & Athletic Fields",02125,695 701A Dudley Street and Nonquit Street
Mahoney Park,0.38110158,"Parks, Playgrounds & Athletic Fields",02127,2498 Beacon Street
Boundary I,6.92577563,Urban Wilds,02136, 
Sprague Pond,1.19620239,Urban Wilds,02136,0-4 Lakeside Avenue
Codman Square,0.35071001,"Malls, Squares & Plazas",02124,360 Talbot Avenue
Murphy Playground,2.44919749,"Parks, Playgrounds & Athletic Fields",02130,20 Child Street
Union Square Plaza I,0.31130858,"Malls, Squares & Plazas",02134, 
Union Square Plaza II,0.07861874,"Malls, Squares & Plazas",02134, 
Neponset River Reservation I,121.5592824,"Parkways, Reservations & Beaches","02126, 02124, 02136", 
Neponset River Reservation II,61.94219111,"Parkways, Reservations & Beaches",02136, 
Egleston Square Peace Garden,0.11690281,Community Gardens,02130,3131 Washington Street
Sherrin Woods II,1.10639002,Urban Wilds,02136,0 Dale Street
